lag,mean_abs_shap
t-0,0.09751197362634377
t-1,0.09289207809083166
t-2,0.07382536160512354
t-3,0.0731661182457117
t-4,0.06933843444168512
t-5,0.04622834013950988
t-6,0.03196239437462782
t-7,0.017937474355621152
t-8,0.013057210047200406
t-10,0.0076054290934642384
t-9,0.006090385577065289
t-13,0.004387422105931119
t-12,0.003105865268717948
t-15,0.0026953142644061973
t-11,0.0026754898776465874
t-16,0.00206113343418276
t-14,0.0017564726463158505
t-18,0.0017253750313479855
t-17,0.0012611709863491196
t-21,0.0006345314739627406
t-22,0.0005673793172257282
t-27,0.0005362541172671051
t-25,0.0004984085436765839
t-57,0.00047962219801471614
t-36,0.0003951081649344202
t-20,0.0003924535162092357
t-38,0.00038889656455614853
t-53,0.0003180553646216807
t-39,0.0002988537569760874
t-40,0.00025693356970359684
t-29,0.00024742917341077924
t-19,0.00024317924394997415
t-24,0.00023837442341845426
t-46,0.00021435386458932212
t-35,0.00015629556839514668
t-42,0.0001373162951098128
t-32,0.00013640117434735166
t-52,0.0001143557214113855
t-45,0.0
t-56,0.0
t-55,0.0
t-54,0.0
t-51,0.0
t-50,0.0
t-49,0.0
t-48,0.0
t-47,0.0
t-28,0.0
t-44,0.0
t-43,0.0
t-58,0.0
t-41,0.0
t-37,0.0
t-34,0.0
t-33,0.0
t-31,0.0
t-23,0.0
t-30,0.0
t-26,0.0
t-59,0.0
