lookback,units,dropout,batch_size,garch_vol,garch_p,garch_q,garch_dist,eval_rmse,eval_qlike,n_eval_forecasts
20,32,0.0,32,Garch,1,1,t,0.001017514374908537,-5.998649889176302,523
20,32,0.0,32,Garch,1,2,t,0.0010450417263982888,-6.19617163332321,523
20,32,0.0,32,Garch,2,1,t,0.0010391629904520977,-6.171623126685041,523
20,32,0.0,32,Garch,2,2,t,0.0010288330226758571,-6.186919422370344,523
20,32,0.01,32,Garch,1,1,t,0.0009919237382652278,-6.136004813730555,523
20,32,0.01,32,Garch,1,2,t,0.001024346538613124,-6.238846406686141,523
20,32,0.01,32,Garch,2,1,t,0.0010307307657116793,-6.101238457767582,523
20,32,0.01,32,Garch,2,2,t,0.001034974625953049,-6.220294635073484,523
20,32,0.1,32,Garch,1,1,t,0.0010740590377558146,-6.217892145200169,523
20,32,0.1,32,Garch,1,2,t,0.0010318406209666366,-6.170681258399965,523
20,32,0.1,32,Garch,2,1,t,0.001016355565316875,-6.136892978269585,523
20,32,0.1,32,Garch,2,2,t,0.000990442746264167,-6.075673270493435,523
20,32,0.2,32,Garch,1,1,t,0.0010344523867298996,-6.1593071805582325,523
20,32,0.2,32,Garch,1,2,t,0.0010405151460235323,-6.24662660426917,523
20,32,0.2,32,Garch,2,1,t,0.0010759168588825082,-6.1695315787957075,523
20,32,0.2,32,Garch,2,2,t,0.0010173507874078837,-6.181515238548887,523
20,64,0.0,32,Garch,1,1,t,0.0010043708264628724,-5.908982375462853,523
20,64,0.0,32,Garch,1,2,t,0.0009932879956065527,-5.9135091483467495,523
20,64,0.0,32,Garch,2,1,t,0.0010222834220613467,-6.0399905614984055,523
20,64,0.0,32,Garch,2,2,t,0.0009885169395633152,-6.023910898472847,523
20,64,0.01,32,Garch,1,1,t,0.0010145842104546472,-6.146895934716631,523
20,64,0.01,32,Garch,1,2,t,0.0009665334424159375,-5.678290097473768,523
20,64,0.01,32,Garch,2,1,t,0.0010160908209972078,-6.06732119380309,523
20,64,0.01,32,Garch,2,2,t,0.001000078089476612,-6.058176087093613,523
20,64,0.1,32,Garch,1,1,t,0.000993087761739193,-5.9240970046422365,523
20,64,0.1,32,Garch,1,2,t,0.0009822914666954158,-6.09748621723792,523
20,64,0.1,32,Garch,2,1,t,0.0009966596862536407,-5.647459842504557,523
20,64,0.1,32,Garch,2,2,t,0.000993029638268628,-6.0349439104668265,523
20,64,0.2,32,Garch,1,1,t,0.0010052306712736248,-6.053950606393805,523
20,64,0.2,32,Garch,1,2,t,0.0009766014787476731,-5.974727987320865,523
20,64,0.2,32,Garch,2,1,t,0.0010068691484629473,-6.045907339149309,523
20,64,0.2,32,Garch,2,2,t,0.0010023883678843307,-6.139607169804262,523
30,32,0.0,32,Garch,1,1,t,0.0010519100489469878,-6.137206364259879,523
30,32,0.0,32,Garch,1,2,t,0.001019611290669406,-6.059260973916668,523
30,32,0.0,32,Garch,2,1,t,0.0010615720678604234,-6.192998079271286,523
30,32,0.0,32,Garch,2,2,t,0.0009980551021652496,-6.106234733321115,523
30,32,0.01,32,Garch,1,1,t,0.0010600329070128863,-6.188998000546413,523
30,32,0.01,32,Garch,1,2,t,0.0010170300638186935,-6.100281583341145,523
30,32,0.01,32,Garch,2,1,t,0.0010650266296640832,-6.198344532328036,523
30,32,0.01,32,Garch,2,2,t,0.0010247116608402527,-6.163071269348363,523
30,32,0.1,32,Garch,1,1,t,0.0010474432259832361,-6.191052527795709,523
30,32,0.1,32,Garch,1,2,t,0.0010406927523261328,-6.193184730843481,523
30,32,0.1,32,Garch,2,1,t,0.0010051731657852434,-6.0643254829019355,523
30,32,0.1,32,Garch,2,2,t,0.0010418620858388581,-6.167466205740538,523
